,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
77,Keshav Puram,28.688914,77.161652,Nizam's Kathi Kabab,28.691696472513915,77.15192321995401,Asian Restaurant
78,Kingsway Camp,28.698684000000004,77.204675,Woodbox Cafe,28.69433449394833,77.20481057363072,Café
79,Kingsway Camp,28.698684000000004,77.204675,Big Yellow Door,28.693244735370346,77.20494771461874,Café
80,Kingsway Camp,28.698684000000004,77.204675,Rico's,28.694766392301215,77.20414858461864,Fast Food Restaurant
81,Kingsway Camp,28.698684000000004,77.204675,QD's New,28.695156012831536,77.20408093484266,Chinese Restaurant
82,Kingsway Camp,28.698684000000004,77.204675,Domino's Pizza,28.698,77.21,Pizza Place
83,Kingsway Camp,28.698684000000004,77.204675,cafe coffee day,28.70048819308643,77.2080945968628,Coffee Shop
84,Kingsway Camp,28.698684000000004,77.204675,Hot-Pot,28.702269485589042,77.19757654834768,Food Truck
85,Kingsway Camp,28.698684000000004,77.204675,Café Coffee Day,28.69480155305774,77.20410744643709,Coffee Shop
86,Kingsway Camp,28.698684000000004,77.204675,Pizza Hut,28.699932838104072,77.19741371246307,Pizza Place
87,Kingsway Camp,28.698684000000004,77.204675,Indus Flavour,28.695782,77.204162,Indian Restaurant
88,Kingsway Camp,28.698684000000004,77.204675,chopra maggi point,28.695933308640004,77.20775127410889,Restaurant
89,Kingsway Camp,28.698684000000004,77.204675,Korean restaurant,28.701080427580862,77.20902503434961,Korean Restaurant
90,Kingsway Camp,28.698684000000004,77.204675,Shagun Restaurant,28.69346069082547,77.20478040848754,Chinese Restaurant
91,Kingsway Camp,28.698684000000004,77.204675,Patel Chest Chai Wala,28.69201349889419,77.20814917163693,Tea Room
92,Kingsway Camp,28.698684000000004,77.204675,Gtb Nagar Railway Station,28.707183121238955,77.20675676115992,Train Station
93,Kohat Enclave,28.698014,77.140523,"Cafe 24, City Park",28.705728831986658,77.14352269506296,Coffee Shop
94,Kohat Enclave,28.698014,77.140523,Gulab Sweets,28.699974162781096,77.13701091015463,Snack Place
95,Kohat Enclave,28.698014,77.140523,Pizza Hut,28.69425122980075,77.14955670975652,Pizza Place
96,Kohat Enclave,28.698014,77.140523,Hotel City Park,28.70538164968315,77.1433675289154,Hotel
97,Kohat Enclave,28.698014,77.140523,Sita Ram Diwan Chand Chhole Bhature,28.700147505686903,77.14156468219393,Indian Restaurant
98,Kohat Enclave,28.698014,77.140523,Dilli Haat | दिल्ली हाट,28.695550260699935,77.14962576944839,Arts & Crafts Store
99,Kohat Enclave,28.698014,77.140523,JD Market,28.700977549043778,77.13608264923096,Market
100,Kohat Enclave,28.698014,77.140523,TV Tower,28.694891093061724,77.1493954602319,Building
101,Kohat Enclave,28.698014,77.140523,Pitampura Sports Complex,28.698710300024874,77.15020996644064,Playground
102,Model Town,28.702739,77.194006,Pentamed Canteen,28.699219972029947,77.19174820097714,Snack Place
103,Model Town,28.702739,77.194006,Hot-Pot,28.702269485589042,77.19757654834768,Food Truck
104,Model Town,28.702739,77.194006,Dunkin Donuts,28.70485629225438,77.18991178916777,Donut Shop
105,Model Town,28.702739,77.194006,Pizza Hut,28.699932838104072,77.19741371246307,Pizza Place
106,Model Town,28.702739,77.194006,Domino's Pizza,28.704,77.19,Pizza Place
107,Model Town,28.702739,77.194006,24 *7 kamla nagar,28.69445528714123,77.19534736180339,Department Store
108,Model Town,28.702739,77.194006,cafe coffee day,28.70850581381088,77.19122886657715,Coffee Shop
109,Model Town,28.702739,77.194006,24 SEVEN,28.702955914151072,77.19521821369096,Convenience Store
110,Model Town,28.702739,77.194006,Grand Plaza,28.704231883359686,77.18931952920994,Restaurant
111,Model Town,28.702739,77.194006,McDonald's,28.70563888314002,77.19014763530008,Fast Food Restaurant
112,Model Town,28.702739,77.194006,Cocoberry,28.704221088543783,77.18927102592849,Frozen Yogurt Shop
113,Model Town,28.702739,77.194006,Standards Max,28.705624148574493,77.19011394302419,Men's Store
114,Model Town,28.702739,77.194006,North Gate Orbit Plaza,28.697654500622825,77.19190523575284,Shopping Mall
115,Model Town,28.702739,77.194006,Chatrasaal Stadium,28.704007740744686,77.18743085861206,Track Stadium
116,Narela,28.85708,77.12346600000002,Narela Railway Station,28.858209495803468,77.12418233924228,Train Station
117,Narela,28.85708,77.12346600000002,Fitness Factory,28.858209495803468,77.12418233924228,Business Service
118,Narela,28.85708,77.12346600000002,Ay Döner Et Doner,28.850069,77.128,American Restaurant
119,Pitam Pura,28.703245000000006,77.132225,Hari Om Chole Bhature,28.70967336239139,77.13465474534773,Indian Restaurant
120,Pitam Pura,28.703245000000006,77.132225,Domino's Pizza,28.701,77.124,Pizza Place
